Source	Target	Interaction_in_cancer
BMPR2	BMP2	0
GAS1	BID	0
ACVR1	INHA	0
TTLL5	ESR1	0
TTLL5	THRB	0
CXCR4	NAP1L1	0
PEX12	PEX11B	0
PEX7	PEX7	0
PEX7	PEX2	0
SMAD7	CTBP1	0
MTREX	EXOSC3	0
TRPC1	TRPC4	0
TRAF3IP1	TRAF4	0
FHL2	RND1	0
PRPF3	PRPF6	0
DPF2	IKZF4	0
GDI1	DPF2	0
PRPF6	PRPF8	0
NKX2-3	NKX2-3	0
EXOSC1	EXOSC1	0
BUB1B	IL3	0
RND1	RND1	0
CREB3L2	MLX	0
ATF3	DPF2	0
ZNF626	PUF60	0
ZNF626	SAP30BP	0
TP53	NME5	0
COG1	COG5	0
NKX2-3	MLX	0
ATF3	RND1	0
E2F3	GABPB2	0
PPIH	PRPF6	0
SMAD6	TRIM33	0
CNOT3	ZNF3	0
AHSG	CAPN6	0
E2F5	GABPB2	0
DPF2	PUF60	0
CRY1	FBXL15	0
PPP2CA	AP3S1	0
LSM1	LSM1	0
DNAJB6	KRT14	0
CRY2	BTRC	0
EIF4EBP1	CHTF18	0
TRIM16	PYCARD	0
ZNF3	SAP30BP	0
COG8	COG4	0
EPS8L2	ZNF212	0
EEF1G	APLP1	0
ATF3	GNB2	0
CYTH3	RARA	0
LSM2	LSM4	0
TRAF1	BIRC7	0
SMAD7	HOXC8	0
SMAD3	HDAC1	0
BCL2L1	MCL1	0
FHL2	EPS8L2	0
THRA	PROX1	0
PRPF40A	LRIF1	0
DVL1	CTNNB1	0
DPF2	DPF2	0
CREB3L2	ZNF331	0
YWHAZ	ATP2B2	0
CDKN1A	MCM2	0
EXOSC9	EXOSC6	0
TCERG1	TCERG1	0
RAD51B	XRCC3	0
GDI1	EPS8L2	0
TEK	ANGPTL3	0
RYK	AFDN	0
TCERG1	NEFL	0
NFKBIA	GNL1	0
PEX11B	PEX2	0
HRAS	MAPK1	0
ATF3	MLX	0
RACK1	PDE4C	0
SKP2	CRY2	0
MTREX	EXOSC1	0
FHL1	FHL2	0
PPIH	SNRNP200	0
XIAP	TRAF1	0
STX11	FHL3	0
IKZF4	ZNF212	0
PRPF3	PRPF3	0
NCOR1	NR0B2	0
COG2	COG1	0
DNAJC14	GNB4	0
PRPF40A	PRPF40A	0
GNB2	IKZF4	0
NR3C1	PROX1	0
PTN	EEF1G	0
MLX	MLX	0
AXIN1	SMAD4	0
LMNA	YWHAB	0
ATF4	ATF4	0
ZHX1	ZHX1	0
FADD	TICAM1	0
GNL1	IKZF4	0
FLT1	ACP1	0
DUSP6	EPS8L2	0
ATF3	DUSP6	0
SART1	PRPF8	0
MTREX	DIS3	0
PROX1	NCOR2	0
EPS8L2	MLX	0
DLG4	GRIN1	0
ATF4	ZNF408	0
SMAD4	TGIF1	0
EXOSC4	DIS3	0
CTNND1	CTNNAL1	0
CNOT3	ATF3	0
NFKBIA	FHL2	0
CNOT3	CREB3L2	0
LSM8	LSM5	0
GDI1	SAP30BP	0
PEX7	PEX11A	0
GPR39	GHRL	0
IMMT	MAGEH1	0
SUMO3	SUMO3	0
ID3	SAP30BP	0
GDI1	MLX	0
RND1	DPF2	0
NOL3	SRSF4	0
ZNF408	MLX	0
DUSP6	DPF2	0
RIPK2	CARD17	0
ZNF3	ATF3	0
SUMO3	ZHX1	0
LSM4	LSM4	0
TXNL4A	PRPF8	0
PDE4A	RACK1	0
PEX7	PEX3	0
TCERG1	IMMT	0
NOL3	SNRPN	0
SRSF3	AKAP17A	0
PRKCB	SRC	0
HOXA9	SMAD3	0
DPF2	EPS8L2	0
GDI1	NKX2-3	0
DPF2	SAP30BP	0
SART1	PPIH	0
ZNF626	ZNF626	0
CRY2	FBXL2	0
TCERG1	SUMO3	0
CNOT3	EPS8L2	0
DNAJB6	KRT5	0
MSX1	TLE1	0
FUBP3	PUF60	0
S100A6	S100A1	0
PIP4K2C	SAP30BP	0
CRY2	FBXO9	0
CSK	MLX	0
ZNF626	PIP4K2C	0
CDK2	ORC3	0
NOL3	SRSF6	0
ZNF3	DPF2	0
GNB2	DUSP6	0
GNL1	GNL1	0
GNL1	ID3	0
ID3	EPS8L2	0
NEFL	LRIF1	0
DIS3	EXOSC1	0
COG1	COG8	0
APLP1	IMMT	0
NFKBIA	MLX	0
ZNF3	CREB3L2	0
RND3	FRS2	0
CREB3L2	CREB3L2	0
CNOT3	CNOT3	0
PBX2	MYBBP1A	0
ATF4	NKX2-3	0
SNRNP200	EFTUD2	0
ATF4	EPS8L2	0
DUSP6	ZNF408	0
AHSG	CAPN1	0
BCL9	TCF7L2	0
MT-CO2	B2M	0
INS	B2M	0
CD4	IGHG1	0
IGKC	IL12B	0
IGKC	B2M	0
SRP19	SRP9	0
AKAP5	PPP3R1	0
CDK2	E2F1	0
ACTB	LILRB1	0
SNRPF	SNRPD1	0
SNRPG	SNRPD2	0
IRF3	JUN	0
ELOB	HIF1A	0
TSC22D3	FOXO3	0
ATP8B4	TMEM30B	0
PKN2	RPS6KA3	0
PKN1	RPS6KA3	0
FANCA	FANCC	0
AKAP8L	PRKAR2A	0
SUMO1	GSTK1	0
TJAP1	F11R	0
UFD1	UBXN4	0
APPL2	RAB4A	0
TSC2	SKP2	0
ARAF	BCL2L1	0
ARAF	BCL2	0
HSPB1	MKNK1	0
HTT	REST	0
GRAP2	KHDRBS1	0
GRAP2	CBL	0
NME1	MDM2	0
FHOD1	RAC3	0
COL18A1	VEGFA	0
ZAP70	TRAT1	0
CD247	TRAT1	0
DCTN4	ATP7A	0
MSX2	PML	0
RACK1	TP53	0
APLP2	CD74	0
HDAC2	RING1	0
IGF2	IGF1R	0
YWHAZ	TSC1	0
CTNND1	IL2	0
IL15	IL2RA	0
SERPINE1	FN1	0
TADA3	RARA	0
RAB15	RABEP1	0
RAB15	RABGEF1	0
AKAP17A	U2AF2	0
DKC1	FANCA	0
RXRA	UIMC1	0
INTS9	CPSF1	0
TRAF4	CD40	0
BMPR1B	BMP6	0
SLPI	CD209	0
BANF1	CRX	0
NR6A1	NCOR2	0
TAF10	TAF1	0
GHRH	TRH	0
CD40LG	C4BPA	0
C4BPA	FASLG	0
DEDD2	FADD	0
NKAP	RIPK1	0
MESD	DKK1	0
TNFRSF13C	TNFSF13	0
VWF	F8	0
NACC1	ZBTB16	0
SRSF11	SNRNP70	0
GAS1	BAD	0
TTLL5	RXRA	0
CXCR4	NPY	0
AZGP1	B2M	0
PGF	FLT4	0
PEX12	PEX12	0
PEX12	PEX14	0
TLE1	TBL1Y	0
MTREX	EXOSC8	0
RAB4A	TBXA2R	0
LSM6	LSM4	0
FHL2	PIP4K2C	0
CRY1	FBXO22	0
IKZF4	IKZF4	0
CREB3L2	EPS8L2	0
GNB2	DPF2	0
PIP4K2C	EPS8L2	0
NFKBIA	CREB3L2	0
CNOT3	GNL1	0
GEMIN2	GEMIN5	0
AXIN1	SMAD1	0
CNOT3	RND1	0
SNCA	SLC1A2	0
PRPF40A	NEFL	0
DPF2	ZNF408	0
SNRNP70	SRSF2	0
ZNF3	EPS8L2	0
RARA	PROX1	0
GNL1	MLX	0
PIP4K2C	PUF60	0
CSK	PIP4K2C	0
LRRFIP1	LEF1	0
GNB2	EPS8L2	0
EP300	MAFA	0
GDI1	ZNF408	0
MCM2	MCM2	0
DMC1	FANCD2	0
GNB2	ZNF212	0
E2F4	GABPB2	0
ACTN2	ILK	0
ORC3	ORC3	0
PRPF3	SNRNP200	0
PEX10	PEX13	0
PRPF4	EFTUD2	0
S100A1	S100A11	0
AKT1	YWHAB	0
PRPF4	SNRNP200	0
ATF4	GDI1	0
ATF4	DUSP6	0
ATF4	MLX	0
CREB3L2	DPF2	0
NKX2-3	ZNF408	0
EXOSC9	EXOSC8	0
CREB3L2	SAP30BP	0
EXOSC9	EXOSC1	0
TRAPPC9	IKBKG	0
ATF3	ZNF626	0
EXOSC6	MPHOSPH6	0
MCM4	ORC3	0
NFKBIA	PUF60	0
PEX13	PEX16	0
CRY1	FBXO5	0
NKX2-3	PIP4K2C	0
GNL1	CSK	0
PEX7	PEX14	0
TACC1	KAT2B	0
PRPF3	TXNL4A	0
GNL1	NKX2-3	0
GEMIN5	GEMIN6	0
TRAF1	TRAF3IP1	0
COG3	COG5	0
POU1F1	TLE1	0
RND1	IKZF4	0
PIP4K2C	IKZF4	0
GDI1	GNB2	0
MAPK3	DUSP26	0
E2F1	SMAD2	0
FHL2	DUSP6	0
EEF1G	PIAS4	0
GNB1	DNAJC14	0
GNL1	PUF60	0
NKX2-3	RND1	0
TCERG1	APLP1	0
STX11	FHL2	0
TUBB	PARP1	0
XRCC3	RAD51D	0
LSM5	LSM5	0
RAD51B	FANCD2	0
DUSP6	DUSP6	0
EXOSC7	EXOSC8	0
PEX11B	PEX11B	0
PRKG1	MRVI1	0
GNL1	SAP30BP	0
APLP1	CHD3	0
CNOT3	DPF2	0
ZBTB33	ZBTB4	0
CRY2	FBXO22	0
PEX11A	PEX16	0
NEFL	MAGEH1	0
PSEN1	PAWR	0
EXOSC9	EXOSC5	0
AREG	NKD2	0
ZNF3	GNL1	0
NFKBIA	ZNF408	0
RAD52	FANCD2	0
LRIF1	MAGEH1	0
EXOSC7	MPHOSPH6	0
GNL1	ZNF626	0
RIPK2	CARD18	0
LSM5	LSM4	0
DCC	HJV	0
RGS16	ADRA1B	0
HRAS	MAPK8	0
GDI1	PUF60	0
NOL3	SRSF1	0
ATF3	SAP30BP	0
ATF4	ID3	0
PSMC3	SNCB	0
EGFR	SH3KBP1	0
CSK	ZNF408	0
TERF1	TERF2	0
CRY1	FBXL2	0
SMAD4	SMURF2	0
FRS3	RND3	0
NFKBIA	GDI1	0
PRPF40A	EEF1G	0
EPS8L2	PUF60	0
RBL2	GABPB2	0
DUSP6	PUF60	0
ZNF626	MLX	0
MAPK1	OSR1	0
CDK2	MCM2	0
ZNF3	MLX	0
ZNF626	ZNF212	0
IKZF4	ZNF331	0
ZNF3	NKX2-3	0
PIP4K2C	DPF2	0
NOL3	SAFB	0
RACK1	PDE4B	0
PEX11A	PEX11B	0
COG7	COG1	0
GNL1	DPF2	0
TXNL4A	EFTUD2	0
EXOSC9	EXOSC9	0
CNOT3	PUF60	0
GNB2	DNAJC14	0
EXOSC4	EXOSC5	0
EXOSC6	EXOSC6	0
TCERG1	MAGEH1	0
ZNF3	ZNF626	0
CTNNB1	PPP1CA	0
TPM3	DSTN	0
GNL1	RND1	0
CSK	ZNF331	0
PEX11B	PEX16	0
EXOSC5	DIS3	0
ID3	DUSP6	0
ZNF3	ZNF331	0
GNAI1	DNAJC14	0
CDK4	ORC3	0
ZNF3	RND1	0
PRPF40A	SUMO3	0
GNB2	PIP4K2C	0
RNF8	UBE2V2	0
SNUPN	RAN	0
F2	FGA	0
PLAU	VTN	0
IL2RA	IL2RB	0
IGHG1	IL12B	0
AFP	B2M	0
FYN	SLAMF1	0
SRP19	SRP14	0
NPR3	NPPC	0
AKAP5	PPP3CA	0
IL2RG	IL15RA	0
CYP2C18	B2M	0
MAGEA1	B2M	0
MAGEA3	B2M	0
ZAP70	UBE2D2	0
KIR2DL1	B2M	0
UCN	CRHR2	0
B2M	CTAG2	0
B2M	CTAG1B	0
B2M	ZFP36L1	0
B2M	MTAP	0
B2M	KLRD1	0
B2M	PRKD2	0
SNRPF	SNRPG	0
RBX1	SKP2	0
UBE2V2	OTUB1	0
C4BPA	CD40	0
ATP8A2	TMEM30B	0
POP1	NLRP3	0
KDR	FLT1	0
IL22	IL10RA	0
SMAD4	ANAPC10	0
RAPGEF1	SHPK	0
VAV1	SHC1	0
SH3KBP1	TNFRSF14	0
HEY2	UBXN4	0
CD274	CD28	0
HDAC3	EPAS1	0
TSC1	SKP2	0
HSPB1	EIF4B	0
HSPB1	EIF4E	0
PIK3CG	PIK3R2	0
UTRN	MAVS	0
HTT	RILP	0
ERBB2	PIK3R2	0
RPL34	CDK1	0
RABEPK	RAB7A	0
CBL	TRAT1	0
ADA	DPP4	0
EIF4E	AGO2	0
MBD2	DNMT3L	0
SLC4A1	ANK1	0
CCR3	CCL3	0
CCR3	CCL4	0
HSPA4	BAX	0
RAB3IP	SSX1	0
SSX2IP	SSX1	0
VIPR2	RAMP2	0
RBL2	SMAD3	0
TAF6	TAF7	0
EPHB6	EPHA10	0
CR2	PIK3R2	0
SP1	ASF1A	0
CD2	CD48	0
CD2	CD59	0
EIF3I	ACVR1	0
EIF3I	TGFBR1	0
RIPK1	TNFRSF10B	0
TFDP1	CCNA1	0
LGALS1	FLT4	0
TBC1D7	TSC2	0
YWHAB	TSC1	0
FOXO1	TSC1	0
HERC1	TSC1	0
DKK1	SOST	0
TLE5	HDAC1	0
PLAUR	CD82	0
MAD2L2	MAD1L1	0
OSM	LIFR	0
DTNBP1	CSNK1D	0
PIGF	KDR	0
CXCL9	ACKR1	0
TRAF1	CD40	0
BMPR1A	BMP5	0
BMPR1A	BMP6	0
BMPR1B	BMP5	0
CTNND1	CTNND1	0
CTNND1	CTNNB1	0
LTF	CD209	0
MTA1	YY1	0
TAF10	TAF11	0
C4BPA	FAS	0
DEDD2	CASP10	0
TNF	EGFR	0
CD3G	ZAP70	0
CD3D	ZAP70	0
GAS1	BAX	0
TTLL5	PPARG	0
TTLL5	RARA	0
PPP2R1B	PPP2R5B	0
CXCR4	CXCL8	0
VEGFB	FLT4	0
PEX12	PEX16	0
GNB5	DNAJC14	0
RBBP4	NCOR2	0
GEMIN5	GEMIN7	0
ID3	PIP4K2C	0
CCND1	ORC3	0
PRPF8	PRPF8	0
BCL2	OPTN	0
PBX1	MYBBP1A	0
SRSF9	SRSF7	0
CNOT3	PIP4K2C	0
LMNA	HSPB1	0
CCND1	MCM2	0
VCL	PARVB	0
GDI1	CREB3L2	0
CREB3L2	PUF60	0
IGF1R	ANXA6	0
PRPF31	PRPF31	0
DIS3	DIS3	0
GDI1	ID3	0
ZNF626	CREB3L2	0
LSM2	LSM5	0
MAPK3	SYT4	0
ID3	NKX2-3	0
FHL1	FHL5	0
PRKN	HDAC4	0
FOS	TAF1	0
NR3C1	FBL	0
CNOT3	GDI1	0
ATF3	CSK	0
THRB	PROX1	0
CREB3L2	PIP4K2C	0
TRIM27	PRKACA	0
PEX11B	PEX3	0
TUBB	TLE1	0
ATF4	PIP4K2C	0
DRD4	KLHL12	0
PRPF8	DDX23	0
TRAF5	TRAF3IP1	0
STAT5A	GADD45GIP1	0
PEX14	PEX11B	0
GNB2	ZNF408	0
NKX2-3	IKZF4	0
NOL3	U2AF1	0
CDC27	CDK9	0
DVL1	CSNK1A1	0
TP53	NME3	0
CSK	EPS8L2	0
CREB3L2	NKX2-3	0
SCN1B	SCN3B	0
SLC1A2	RRS1	0
DUSP6	IKZF4	0
COG1	COG6	0
ID3	IKZF4	0
GNL1	GNB2	0
CHD3	MAGEH1	0
NFKBIA	ZNF331	0
PEX12	PEX3	0
SIVA1	LPAR1	0
IKZF4	MLX	0
RDX	DOCK1	0
NKX2-3	DPF2	0
ATF4	PUF60	0
APLP1	MAGEH1	0
SUMO3	MAGEH1	0
GNL1	ZNF408	0
FHL1	FHL1	0
COG7	COG3	0
MAGEH1	MAGEH1	0
GATA2	TLE1	0
CNOT3	MLX	0
GDI1	FHL2	0
RND1	ZNF331	0
YWHAQ	ATP2B2	0
PIP4K2C	ZNF408	0
PEX12	PEX13	0
PEX7	PEX13	0
ATF4	IKZF4	0
SUMO3	LRIF1	0
NFKBIA	GNB2	0
PTN	MAGEH1	0
ATF3	PUF60	0
STAT6	DHX9	0
COG2	COG6	0
FYN	PRKCA	0
CNOT3	NFKBIA	0
TAB1	RBCK1	0
LYN	PRKCA	0
DVL1	GSK3B	0
ATF4	RND1	0
TP73	HECW1	0
RB1	SIN3A	0
HOXC8	SMAD2	0
NFKBIA	SAP30BP	0
CSK	CREB3L2	0
MTREX	MTREX	0
UBE2E1	SUMO1	0
E2F1	GABPB1	0
ID3	ZNF212	0
GDI1	ZNF331	0
NKX2-3	SAP30BP	0
PIP4K2C	RND1	0
IKZF4	PUF60	0
CHUK	TRAPPC9	0
PEX7	PEX11B	0
NEFL	ZHX1	0
ATF3	GNL1	0
CNOT3	IKZF4	0
GNB2	NKX2-3	0
COPB2	PDE4D	0
COG7	COG2	0
DUSP6	MLX	0
NME6	TP53	0
STAT1	GADD45GIP1	0
PDPK1	TCL1B	0
ADRA1D	RGS2	0
PEX3	PEX13	0
TCERG1	PTN	0
TCERG1	EEF1G	0
XRCC3	XRCC2	0
NFKBIA	DUSP6	0
BCAP31	BAX	0
CSK	CSK	0
ZNF626	NKX2-3	0
PEX11A	PEX3	0
ACTN2	TRIM54	0
SNRNP200	PRPF6	0
PTN	IMMT	0
NFKBIA	PIP4K2C	0
ZNF212	MLX	0
PPIH	USP39	0
TRAF2	TRAF3IP1	0
RXRA	PROX1	0
DUSP6	PIP4K2C	0
STX11	FHL1	0
EEF1G	MAGEH1	0
EXOSC6	DIS3	0
CDC5L	ORC3	0
COG3	COG4	0
APLP1	ZHX1	0
HRAS	MAPK14	0
APLP1	SUMO3	0
NR0B1	PROX1	0
MPHOSPH6	EXOSC5	0
PIP4K2C	ZNF331	0
PEX10	PEX16	0
CNOT3	ATF4	0
GDI1	RND1	0
ZNF626	DPF2	0
NFKBIA	EPS8L2	0
EXOSC7	DIS3	0
MTREX	EXOSC5	0
WASL	BAIAP2L1	0
F2	FGB	0
IL2RA	IL2RG	0
TP53	CDK2	0
CTSA	B2M	0
IL2RB	IL15RA	0
KIR2DL2	B2M	0
GCGR	B2M	0
B2M	CACNA1D	0
B2M	EMC7	0
RBX1	DDB1	0
BRK1	NCKAP1	0
SAR1A	SMAD1	0
AFDN	TERF2IP	0
TAOK1	BUB1B	0
RNF135	MAVS	0
PKN1	RPS6KA1	0
HIC1	SMARCA2	0
VRK2	DUSP3	0
PARD3	LIMK1	0
APPL1	RAB4A	0
APPL1	RAB11A	0
APPL2	RAB11A	0
F5	A2M	0
ALK	PTN	0
BCL2L1	MAVS	0
VEGFC	FLT1	0
RABEPK	HRAS	0
LAPTM5	TRAT1	0
CSNK2A1	UBTF	0
PFN4	ACTB	0
RAB3IP	SSX3	0
VIPR2	RAMP1	0
VIPR2	RAMP3	0
ETS1	CREBBP	0
RB1	SMAD3	0
IGSF1	INHA	0
IGSF1	INHBB	0
TP53	SET	0
RIPK1	TNFRSF10A	0
PGM1	S100P	0
YWHAE	TSC1	0
HIPK2	MDM2	0
INTS11	CPSF1	0
RACK1	GNAI1	0
DTNBP1	CSNK1E	0
DBNDD2	CSNK1A1	0
CXCL10	ACKR1	0
EZH2	ELAC2	0
PRPS1	CREBBP	0
VEGFB	KDR	0
BMPR1B	TGFB1	0
LALBA	CD209	0
CSN2	CD209	0
PGF	KDR	0
DEDD2	CASP8	0
SRSF11	U2AF1L4	0
MAPK8IP3	APP	0
ZYX	WT1	0
IL1A	EGFR	0
GAS1	BCL2	0
TTLL5	ESR2	0
CSNK2A1	CSNK2A1	0
ATF3	NFKBIA	0
ZNF3	CSK	0
CSK	NKX2-3	0
TRAF3IP1	TRAF6	0
EXOSC6	EXOSC4	0
IMMT	ZHX1	0
ATF3	ATF4	0
YWHAQ	AKT1	0
GNB2	RND1	0
PEX11A	PEX2	0
MSN	WASF1	0
EXOSC4	EXOSC4	0
ZNF626	RND1	0
TBL1X	TLE1	0
PTN	SUMO3	0
ZNF331	MLX	0
LSM3	LSM4	0
GDI1	CSK	0
RBPJ	RBBP8	0
ATF3	NKX2-3	0
RB1	NLRP2	0
ATF3	ZNF408	0
FHL2	MLX	0
NEFL	PTN	0
CRY2	FBXO5	0
TGFBR3	ZYX	0
PTN	ZHX1	0
RBL2	SMAD2	0
LRIF1	LRIF1	0
PEX10	PEX3	0
GNB2	CREB3L2	0
PEX16	PEX16	0
NFKBIA	DPF2	0
GNB2	SAP30BP	0
LSM1	LSM5	0
PRL	PPIA	0
TIE1	ANGPTL3	0
SRSF2	AKAP17A	0
CRY1	KDM2B	0
RND1	PUF60	0
CNOT3	ZNF212	0
CRY1	FBXO9	0
SMAD7	TRIM33	0
MPHOSPH6	DIS3	0
SMAD1	TRIM33	0
LMNA	CAMLG	0
NFKBIA	ID3	0
CCL22	CCR4	0
SMAD7	HOXA9	0
LSM1	LSM8	0
CCNT2	GRN	0
PEX10	PEX2	0
RND1	EPS8L2	0
CSK	DPF2	0
ADRB1	AKAP5	0
DYNLL1	RASGRP2	0
TANK	RBCK1	0
PEX2	PEX16	0
RAD51	RAD54B	0
NKX2-3	PUF60	0
MPHOSPH6	MPHOSPH6	0
MTREX	EXOSC9	0
RND1	MLX	0
SMAD4	CREBBP	0
SMAD3	E2F1	0
COG2	COG5	0
PEX12	PEX2	0
RAD54L	FANCD2	0
PTPN2	YWHAB	0
ZNF626	EPS8L2	0
BCL2	MCL1	0
RGS16	ADRA1A	0
DUSP6	CREB3L2	0
TXNL4A	TXNL4A	0
CDC45	MCM2	0
NFKBIA	ZNF626	0
GNL1	EPS8L2	0
CSK	GNB2	0
PRPF40A	MAGEH1	0
ATF4	FHL2	0
CRY2	KDM2A	0
GNB2	MLX	0
EXOSC6	EXOSC5	0
NR0B2	PROX1	0
ATF3	PIP4K2C	0
PPIH	PPIH	0
LSM8	LSM8	0
SLC1A2	DDX41	0
ZNF3	DUSP6	0
RND1	SAP30BP	0
CRY2	KDM2B	0
UBE2B	SUMO1	0
EPS8L2	SAP30BP	0
NOL3	SRSF3	0
GDI1	GDI1	0
SKP2	CRY1	0
CDK3	ORC3	0
SAP30	PHF12	0
SNRNP200	PRPF31	0
PROP1	TLE1	0
NEFL	EEF1G	0
CNOT3	ZNF626	0
DPF2	MLX	0
ZNF3	PUF60	0
ZNF212	PUF60	0
ZNF3	GDI1	0
CCNE2	MCM2	0
MCL1	BCL2L2	0
E2F1	GABPA	0
PEX2	PEX3	0
GDI1	ZNF212	0
CSK	IKZF4	0
PEX7	PEX16	0
SNAI2	CTBP1	0
TOM1L1	ZFYVE16	0
RB1	SMAD2	0
TGFA	NKD1	0
DNAJB6	VIM	0
DNM2	VAV3	0
CREB3L2	IKZF4	0
PRPF40A	IMMT	0
NFKBIA	RND1	0
PRPF3	EFTUD2	0
EXOSC9	MPHOSPH6	0
CNOT3	GNB2	0
GNB2	GNB2	0
GMNN	MCM2	0
DPF2	ZNF331	0
EEF1G	CHD3	0
SNRNP200	SNRNP200	0
TFDP1	GABPB2	0
PPIH	EFTUD2	0
MAPT	GSK3B	0
ZNF626	ZNF408	0
ADRA1B	RGS2	0
CSK	SAP30BP	0
PEX12	PEX11A	0
TOM1	ZFYVE9	0
NOL3	SRSF2	0
ZNF626	IKZF4	0
GNL1	CREB3L2	0
MPHOSPH6	EXOSC4	0
CSK	PUF60	0
DUSP6	NKX2-3	0
PRPF40A	PTN	0
EPS8L2	ZNF408	0
CRK	SYT4	0
GNL1	FHL2	0
RAD51D	FANCD2	0
SUMO1	UBE2S	0
EPS8L2	EPS8L2	0
C1QBP	NFYC	0
COG3	COG6	0
ATP2B4	YWHAZ	0
CSK	ZNF626	0
MAP4K4	RAP1A	0
HOXA9	SMAD2	0
COG3	COG8	0
AXIN1	SMAD5	0
PPIH	PRPF8	0
PRKCB	FYN	0
NAIP	DIABLO	0
CNOT3	SAP30BP	0
LSM6	LSM6	0
ATF4	CSK	0
LRIF1	ZHX1	0
DNM2	VAV2	0
CTNNA1	CTNNAL1	0
PDPK1	TCL1A	0
SKIL	SMURF2	0
COG2	COG8	0
CREB3L2	ZNF408	0
CRY1	BTRC	0
IKZF4	ZNF408	0
SIVA1	LPAR3	0
MAGEH1	ZHX1	0
GNB3	DNAJC14	0
RBPJ	RING1	0
SUMO3	IMMT	0
NKX2-3	ZNF331	0
CNOT3	CSK	0
TERT	B2M	0
REV3L	REV1	0
UBC	UBE2N	0
WT1	B2M	0
KLRC1	B2M	0
BMI1	UBE2D3	0
ACVRL1	ACVR2B	0
MAGEA4	B2M	0
PLP1	B2M	0
ACTB	B2M	0
B2M	SNRPD3	0
B2M	N4BP2	0
B2M	ARHGAP45	0
WASF1	NCKAP1	0
ATP8A1	TMEM30B	0
STIM1	TRPC3	0
STIM1	TRPC6	0
BCL10	BIRC3	0
GPX1	ALOX5	0
DLK1	NOTCH1	0
CDC37L1	RAF1	0
CA2	SLC26A3	0
DKK1	WNT1	0
CDX2	TBP	0
HDAC2	RELA	0
HSPB1	EIF3A	0
HSPB1	EIF4A1	0
PKN1	MAP3K2	0
PKN2	MAP3K3	0
FGFR4	FGF2	0
FHOD1	CDC42	0
FHOD1	RAC2	0
NR4A1	NCOA6	0
NFYA	TBP	0
RNF7	CSNK2A1	0
SOCS3	JAK2	0
SLA	TRAT1	0
NEDD4	SNX9	0
COMMD1	ATOX1	0
MBD3	DNMT3L	0
CD74	NOTCH1	0
PARK7	PPARGC1A	0
HDAC2	PHC1	0
HDAC2	EZH2	0
HDAC2	ELAC2	0
CA1	SLC4A1	0
HM13	CD74	0
GNAO1	EYA2	0
CEP57	FGF1	0
MYOD1	SET	0
TRAF6	IRF3	0
TFDP1	CDK2	0
LGALS1	FLT1	0
LGALS1	KDR	0
SFN	TSC1	0
DVL1	TSC1	0
TNFAIP6	BMP3	0
NOXA1	NCF4	0
LRPAP1	APP	0
PPARG	UIMC1	0
NR1H3	UIMC1	0
RORC	UIMC1	0
CSNK2A2	PIN1	0
OSMR	LIF	0
GLMN	INSR	0
DTNBP1	CSNK1A1	0
MYB	TP53	0
KRT18	PLG	0
BMPR1A	BMP3	0
CTNND1	JUP	0
TAF10	TAF2	0
TAF10	TAF9	0
CTNNB1	HSP90AA1	0
CTNNB1	HSPD1	0
CTNNB1	HSPA4	0
CSF2RA	IL3	0
CSF2	IL3RA	0
CD3E	ZAP70	0
CDK1	CCNE1	0
MCM3	STAT1	0
ACVR1	INHBA	0
ZMYM2	RCOR1	0
WTIP	LMX1B	0
LSM1	LSM7	0
AXIN1	PPP2R1A	0
EXOSC7	EXOSC7	0
CSK	DUSP6	0
IKZF4	SAP30BP	0
ZNF331	SAP30BP	0
XRCC2	FANCD2	0
NFKBIA	NKX2-3	0
DGCR8	XPO5	0
DUSP6	SAP30BP	0
HOXC8	SMAD3	0
ZNF331	PUF60	0
PEX3	PEX3	0
SART1	EFTUD2	0
CNOT3	ZNF331	0
EPS8L2	ZNF331	0
EEF1G	LRIF1	0
EXOSC9	DIS3	0
ZNF3	NFKBIA	0
EXOSC7	EXOSC5	0
ZNF3	IKZF4	0
SNRNP200	TXNL4A	0
ZNF626	ZNF331	0
EXOSC2	DIS3	0
FOS	MCM2	0
TCERG1	LRIF1	0
GDI1	DUSP6	0
EFTUD2	EFTUD2	0
ATF3	ZNF331	0
FHL2	NKX2-3	0
E2F2	GABPB2	0
SART1	TXNL4A	0
NFKBIA	CSK	0
XRCC5	RECQL	0
PEX7	PEX10	0
XRCC3	FANCD2	0
PEX10	PEX11A	0
ATF4	GNL1	0
ATF4	DPF2	0
PXN	PARVB	0
ATF4	ZNF626	0
EXOSC2	EXOSC2	0
ZBTB8B	ZBTB8B	0
RAD51C	FANCD2	0
ATF4	ZNF331	0
DNAJB6	DES	0
SAP30	RBPJ	0
EEF1G	ZHX1	0
ID3	CREB3L2	0
COG4	COG6	0
GNB2	FHL2	0
NCOR1	PROX1	0
PTN	LRIF1	0
PIP4K2C	ZNF212	0
TCERG1	PRPF40A	0
MPHOSPH6	EXOSC1	0
CNOT3	NKX2-3	0
DUSP6	RND1	0
LSM2	LSM2	0
EFTUD2	PRPF31	0
TOM1L2	ZFYVE16	0
ZNF408	PUF60	0
PRPF8	PRPF31	0
NKX2-3	EPS8L2	0
MAPK3	GLYR1	0
GDI1	ZNF626	0
PEX2	PEX2	0
PPIH	DDX23	0
FHL2	CREB3L2	0
