Source	Target	Interaction_in_cancer
GRM1	CD44	1
GRM1	CDKN2B	1
HGF	EPHA2	1
HGF	LATS2	1
HIF1A	CDKN2A	1
ARNT	CDKN2B	1
ARNT	FGFR4	1
KDELR2	BECN1	1
KDELR2	EPHA2	1
KEAP1	KEAP1	1
LATS2	FGFR4	1
MET	EPHA2	1
MAP2K3	CDK6	1
MAP2K3	ARNT	1
MAP2K5	CDK4	1
MAP2K5	GLIS2	1
MAP2K5	HGF	1
MAP2K5	MET	1
MAP2K5	MAP2K3	1
MAP2K5	NF2	1
MAP2K5	PDGFRA	1
MAP2K5	STK11	1
STK3	STK4	1
STK3	STK3	1
MYC	CCNE1	1
MYC	CDK4	1
MYC	CDK6	1
MYC	FGFR4	1
MYC	SMAD2	1
MYC	TEAD2	1
NF2	CDKN2C	1
NF2	NF2	1
MAPK14	AKT1	1
RELA	MYC	1
RELA	RELA	1
PDGFRA	FGFR4	1
PDGFRA	LATS2	1
PDGFRA	PDGFRA	1
RAF1	CDKN2B	1
RAF1	PDGFRA	1
RASSF1	FGFR4	1
RASSF1	GLIS2	1
RASSF1	MAP2K3	1
RASSF1	RASSF1	1
STK11	CCNE1	1
STK11	CDKN2B	1
TERT	AKT1	1
TP53	CDK4	1
WT1	MYC	1
JUP	LEF1	1
JUP	TCF7	1
JUP	TCF7L1	1
SP1	ZBTB17	1
RHOA	ROCK1	1
PAK1	FLNA	1
PAK1	FLNC	1
NANOG	STAT3	1
DCN	ERBB2	1
DCN	IGF1	1
DCN	MET	1
EGFR	ERBB2	1
BRCA2	RAD51	1
AXIN2	APC	1
CDH1	CTNNA2	1
PDCD1	PTPN6	1
EGF	EGFR	1
EGFR	GRB2	1
GRB2	GRB2	1
PLCG1	PLCG1	0
EGF	PIK3R1	1
EGFR	GAB1	1
GAB1	PIK3R1	1
GRB2	PIK3CA	1
NRG2	PIK3R1	1
CDC37	HSP90AA1	0
ERBIN	HSP90AA1	1
HSP90AA1	HSP90AA1	0
KRAS	HRAS	1
SHC1	SHC1	1
SHC1	EGFR	1
SHC1	ERBB2	1
NRG3	NRG3	1
NRG3	NRG4	1
NRG3	NRG1	1
NRG3	BTC	1
NRG4	NRG4	1
NRG4	HBEGF	1
NRG4	EREG	1
NRG4	ERBB4	1
NRG1	HBEGF	1
NRG1	EREG	1
NRG1	ERBB4	1
NRG1	EGFR	1
HBEGF	HBEGF	1
HBEGF	BTC	1
HBEGF	ERBB2	1
EREG	GRB2	1
EREG	BTC	1
EREG	EGF	1
EREG	EGFR	1
BTC	ERBB2	1
ERBB4	SOS1	1
ERBB4	ERBB3	1
ERBB3	SOS1	1
CASP9	CASP9	1
CREBBP	MAML3	1
CREBBP	NOTCH1	1
RBPJ	EP300	1
RBPJ	KAT2A	1
NOTCH1	MAML1	1
SNW1	MAML2	1
SNW1	MAML1	1
SNW1	SNW1	1
SNW1	KAT2B	1
EP300	MAML2	1
MAML2	MAML1	1
RBPJ	CDK8	1
SNW1	CCNC	1
KAT2A	CDK8	1
JAG2	NOTCH1	1
JAG1	DLL1	1
DLL1	JAG2	1
DLL1	DLL1	1
DLL1	UBB	1
DLL1	RPS27A	1
DLL4	JAG2	1
DLL4	RPS27A	1
JAG2	RPS27A	1
UBC	RPS27A	1
TBL1X	RBPJ	1
HDAC6	SNW1	1
HDAC11	RBPJ	1
HDAC5	RBPJ	1
HDAC5	SNW1	1
NCOR2	HDAC4	1
TBL1X	TBL1XR1	1
TBL1X	HDAC1	1
TBL1XR1	HDAC5	1
HDAC8	HDAC2	1
HDAC8	HDAC5	1
HDAC11	HDAC3	1
HDAC11	HDAC5	1
HDAC4	HDAC4	1
HDAC2	HDAC7	1
HDAC3	HDAC9	1
HDAC9	HDAC9	1
HDAC1	HDAC1	1
SOS1	CDC37	1
HSP90AA1	PIK3R1	1
CBL	EGFR	1
CBL	CDC37	1
CBL	CBL	1
TGFA	TGFA	1
TGFA	EGFR	1
TP53	GADD45G	0
TP53	DDB2	0
RB1	E2F3	0
RASSF1	CCND1	0
RASSF1	KRAS	0
CEBPA	MYC	0
TP53	CDKN1A	0
EGLN1	EPAS1	0
CASP9	CASP3	0
TP53	G6PD	0
SIRT6	HIF1A	0
NFKBIB	NFKB1	0
NFKBIE	RELA	0
RBPJ	HDAC2	1
HDAC10	HDAC6	1
HLA-B	UBE2E1	0
YWHAG	RAF1	1
YWHAZ	YWHAZ	1
ABCB5	FGFR4	1
ARAF	MAP2K3	1
AURKA	LATS2	1
AURKA	TSC1	1
BECN1	BECN1	1
BRAF	YWHAG	1
BRAF	ARAF	1
CCND2	EPHA2	1
CCND2	FGFR4	1
CDK4	EPHA2	1
CDK4	STK11	1
CDK6	CCND2	1
CDK6	FGFR4	1
CDK6	STK11	1
CDKN2B	CCND2	1
CDKN2B	CDK6	1
CDKN2C	FGFR4	1
ERBB2	STK11	1
FGFR4	AKT1	1
FZR1	AKT1	1
GLIS1	GLIS1	1
GLIS1	TCF3	1
GLIS2	CCNE1	1
GLIS2	GLIS2	1
HGF	MYC	1
ARNT	AKT1	1
ARNT	CDKN2A	1
KDELR2	GRM1	1
KDELR2	IGF1R	1
LATS2	LATS2	1
MDM2	CDKN2A	0
MET	STK11	1
MAP2K5	CDK6	1
MAP2K5	FGFR4	1
MAP2K5	MYC	1
MAP2K5	TEAD2	1
MYC	CDKN2B	1
MYC	ARNT	1
MYC	MAP2K3	1
MYC	MYC	1
NF2	AKT1	1
NF2	ERBB2	1
NF2	ARNT	1
NF2	LATS2	1
NF2	MYC	1
NF2	STK11	1
NF2	TERT	1
MAPK14	CDK4	1
RELA	EPHA2	1
RELA	KAT2A	1
PDGFRA	CDK4	1
PDGFRA	NF2	1
PIK3R1	AKT1	1
AKT1S1	AKT1S1	1
RAF1	AKT1	1
RAF1	MAP2K3	1
RAF1	NF2	1
RAF1	RAF1	1
RASSF1	AURKA	1
RASSF1	STK4	0
SMARCA4	RASSF1	1
TCF3	KAT2A	1
TP53	CDKN2A	1
TP53	EPHA2	1
TP53	KAT2A	1
TP53	MDM4	1
TP53	NF2	1
TP53	TP53	1
WT1	WT1	1
YAP1	YWHAZ	1
HIF1A	ARNT2	1
FRAT2	DVL1	1
FRAT2	DVL2	1
FRAT2	DVL3	1
PPARG	RXRB	1
CD44	NANOG	1
PAK1	FLNB	1
ANK2	TIAM1	1
ANK3	TIAM1	1
CD44	ANK1	1
CD44	ANK2	1
CD44	TWIST2	1
CD44	TWIST1	1
CDK4	CCND1	1
GSK3B	AXIN2	1
AXIN2	APC2	1
CDH1	CTNNA1	1
CDH1	CTNNA3	1
CD4	LCK	1
ERBB2	EGF	1
EGF	GRB2	1
EGFR	PIK3R1	1
GAB1	PIK3CA	1
GAB1	GRB2	1
ERBB2	NRG1	1
ERBB3	ERBB3	1
NRG2	PIK3CA	1
ERBB2	HSP90AA1	1
NRAS	HRAS	1
HRAS	HRAS	1
SHC1	NRG2	1
SHC1	NRG4	1
SHC1	HBEGF	1
SHC1	EREG	1
SHC1	BTC	1
SHC1	EGF	1
NRG2	BTC	1
NRG2	EGFR	1
NRG4	SOS1	1
NRG4	BTC	1
NRG1	SOS1	1
HBEGF	EREG	1
BTC	GRB2	1
BTC	ERBB4	1
ERBB4	ERBB4	1
ERBB3	EGF	1
BAD	BAD	1
CREB1	CREB1	1
CREBBP	MAML2	1
CREBBP	KAT2B	1
RBPJ	MAML3	1
EP300	MAML1	1
EP300	MAML3	1
EP300	EP300	1
EP300	KAT2A	1
EP300	KAT2B	1
MAML2	MAML2	1
MAML2	MAML3	1
MAML1	MAML1	1
MAML1	KAT2B	1
MAML3	KAT2A	1
MAML3	KAT2B	1
KAT2A	KAT2A	1
CCNC	CREBBP	1
CCNC	CDK8	1
MAML1	CCNC	1
MAML3	CCNC	1
SNW1	CDK8	1
JAG1	DLL4	1
JAG1	UBC	1
JAG1	UBB	1
DLL1	DLL4	1
DLL1	UBC	1
UBC	UBC	1
UBC	UBA52	1
UBA52	UBA52	1
RPS27A	RPS27A	1
NCOR1	RBPJ	1
NCOR2	RBPJ	1
HDAC8	RBPJ	1
HDAC2	SNW1	1
HDAC3	SNW1	1
NCOR1	NCOR1	1
NCOR1	NCOR2	1
NCOR1	HDAC3	1
NCOR1	HDAC7	1
NCOR2	HDAC11	1
NCOR2	HDAC2	1
NCOR2	HDAC7	1
TBL1X	TBL1X	1
TBL1X	HDAC6	1
TBL1X	HDAC11	1
TBL1X	HDAC3	1
TBL1X	HDAC10	1
TBL1XR1	TBL1XR1	1
TBL1XR1	HDAC6	1
TBL1XR1	HDAC11	1
HDAC6	HDAC8	1
HDAC8	HDAC8	1
HDAC8	HDAC3	1
HDAC11	HDAC11	1
HDAC11	HDAC7	1
HDAC11	HDAC10	1
HDAC4	HDAC3	1
HDAC4	HDAC5	1
HDAC4	HDAC7	1
HDAC4	HDAC1	1
HDAC2	HDAC2	1
HDAC3	HDAC5	1
HDAC9	HDAC5	1
HDAC7	HDAC7	1
PORCN	PORCN	1
HSP90AA1	EGFR	0
CDC37	EGFR	0
HSP90AA1	SHC1	1
HSP90AA1	PIK3CA	1
PLCG1	HSP90AA1	0
TGFA	BTC	1
TP53	GADD45A	0
TP53	BAK1	0
RASSF1	HRAS	0
DAPK3	MAPK3	0
SPI1	CSF1R	0
CEBPA	E2F3	0
SUFU	GLI1	0
SUFU	GLI3	0
IHH	PTCH1	0
SHH	PTCH1	0
CREBBP	TP53	0
APAF1	CASP9	0
CYCS	CASP9	0
TP53	SCO2	0
NFKBIB	RELA	0
NFKBIE	NFKB1	0
PRNP	FZR1	0
YWHAG	YWHAG	1
YWHAG	YWHAZ	1
ARAF	YWHAZ	1
MAP3K5	MAP3K5	1
BECN1	CDKN2A	1
BECN1	FGFR4	1
BECN1	LATS2	1
BECN1	MAP2K3	1
BRAF	AKT1	1
BRAF	HRAS	1
CBLC	EPHA2	1
CBLC	NF2	1
CCND2	CCND2	1
CCND2	STK11	1
CCND2	TEAD2	1
CD44	FGFR4	1
CDK6	CD44	1
CDK6	EPHA2	1
CDKN2A	CDK4	0
CDKN2A	CDK6	0
CDKN2A	CDKN2A	1
CDKN2B	AKT1	1
CDKN2B	CDKN2A	1
DACH1	DACH1	1
DACH1	FOXO1	1
EPHA2	EPHA2	1
ERBB2	CD44	1
ERBB2	FGFR4	1
FGFR4	FGFR4	1
FGFR4	MAP2K3	1
FZR1	CDKN2A	1
FZR1	FZR1	1
GLIS1	SOX3	1
GLIS2	CDK6	1
GLIS2	MET	1
GLIS2	MYC	1
GLIS2	TEAD2	1
GRM1	EPHA2	1
HGF	STK11	1
ARNT	CCND2	1
ARNT	CCNE1	1
ARNT	EPHA2	1
KDELR2	KAT2A	1
KDELR2	LATS2	1
KDELR2	MYC	1
KDELR2	STK11	1
MDM4	MDM2	1
MET	CCND2	1
MET	FGFR4	1
MAP2K3	CDK4	1
MAP2K3	MAP2K3	1
MAP2K5	CCND2	1
MAP2K5	CDKN2A	1
MAP2K5	LATS2	1
STK4	STK4	1
MYC	CDKN2A	1
MYC	LATS2	1
MYC	STK11	1
MYC	TERT	1
MYC	TSC1	1
NF2	CCND2	1
NF2	CCNE1	1
